quarter,fund_id,fund_name,investment_id,investment_name,asset_id,asset_name,asset_cash_flow,ownership_percent,effective_fund_ownership_percent,lp_percent,gp_percent,investment_entity_cash_flow,fund_attributable_cash_flow,lp_cash_flow,gp_cash_flow,allocation_formula
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0004-000000000001,Meridian Medical Plaza,-563207.79,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-563207.79,-450566.232000000000,-450566.232000000000,-112641.558000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0006-000000000001,Meridian Office Tower,-1107153.88,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-1107153.88,-885723.104000000000,-885723.104000000000,-221430.776000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0001-000000000001,Parkview Residences,-17208.13,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-17208.13,-13766.504000000000,-13766.504000000000,-3441.626000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,7e835ccc-dec6-4693-b06b-8b7a2100b2ca,Suburban Office Park,40116.29,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,40116.29,32093.032000000000,32093.032000000000,8023.258000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0005-000000000001,Oakridge Residences Acquisition,d4560000-0456-0201-0005-000000000001,Oakridge Residences,-603701.46,1.000000000000,0.900000000000000000000000,0.900000000000,0.100000000000,-603701.46,-543331.314000000000,-543331.314000000000,-60370.146000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,5b642a1e-feb7-4407-b38e-cdd2649c1b77,Lakeside Senior Living,df7cc5de-22f4-4fb0-955e-8863eb9de54b,Lakeside Senior Living,443805.36,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,443805.36,355044.288000000000,355044.288000000000,88761.072000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,93b29b91-fa91-47d5-ac93-cf3b7468c63a,Cascade Multifamily,11689c58-7993-400e-89c9-b3f33e431553,Cascade Multifamily,-45802.68,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-45802.68,-36642.144000000000,-36642.144000000000,-9160.536000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,93b29b91-fa91-47d5-ac93-cf3b7468c63a,Cascade Multifamily,c2519360-50de-54e6-81f2-b5c7893fa49d,Cascade Village Phase II,8312.56,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,8312.56,6650.048000000000,6650.048000000000,1662.512000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,8d2128bf-d8d2-4c9f-bc7c-05f77d437767,Harborview Logistics Park,f35abd01-af82-5910-9c30-eb34dc07820a,Harborview Distribution Center,7447.17,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,7447.17,5957.736000000000,5957.736000000000,1489.434000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,8d2128bf-d8d2-4c9f-bc7c-05f77d437767,Harborview Logistics Park,39935075-9eb2-48a9-9d39-c47b94b22484,Harborview Logistics Park,63155.85,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,63155.85,50524.680000000000,50524.680000000000,12631.170000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,43227.12,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,43227.12,34581.696000000000,34581.696000000000,8645.424000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,097f19ec-1f5f-5e9b-92bb-29c7ceb86682,Tech Campus South Building,-195729.93,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-195729.93,-156583.944000000000,-156583.944000000000,-39145.986000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,eb6e5e5b-a1be-426c-84f8-38e66febb43a,Harbor Industrial Portfolio,959ddf56-5656-464f-982e-51b2fa345af7,Harbor Industrial Portfolio,-89909.78,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-89909.78,-71927.824000000000,-71927.824000000000,-17981.956000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,eb6e5e5b-a1be-426c-84f8-38e66febb43a,Harbor Industrial Portfolio,1fe857e9-bac7-5e97-9c2b-cfa0f2232a41,Harbor Warehouse Complex,61432.60,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,61432.60,49146.080000000000,49146.080000000000,12286.520000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,8d87e8f7-9730-4f48-ab72-1ff741aa753a,Riverfront Apartments,cf7ff6e9-4784-45ca-80a8-7c427268d532,Riverfront Apartments,219515.75,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,219515.75,175612.600000000000,175612.600000000000,43903.150000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,b72d7d6d-396d-4787-9075-f739d23a10f3,Pacific Gateway Hotel,07bff434-dd6b-4695-a077-7338d1f47dc5,Pacific Gateway Hotel,278942.69,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,278942.69,223154.152000000000,223154.152000000000,55788.538000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,9689adf7-6e9f-43d4-a4db-e0c3b6a979a3,Meridian Office Tower,d56cb1fa-718e-4417-8160-83b553d2eb24,Meridian Office Tower,-162886.51,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-162886.51,-130309.208000000000,-130309.208000000000,-32577.302000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,6e5be7a6-b228-4031-8799-ed5ab01c92ff,Summit Retail Center,7703644b-e5cc-4cbe-94f2-f9f144a9d468,Summit Retail Center,-137642.96,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-137642.96,-110114.368000000000,-110114.368000000000,-27528.592000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,6c6f1416-e1a4-43ff-bbe6-cad3967f97ff,Downtown Mixed-Use,8499ca3b-4656-46e4-b185-15ba1a7ef217,Downtown Mixed-Use,-158691.18,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-158691.18,-126952.944000000000,-126952.944000000000,-31738.236000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,6a793adf-cdfb-49f3-8a2e-440d38c48dea,Ironworks Mixed-Use,b9a2dd86-861e-4597-b3f1-f5fd01a8010d,Ironworks Mixed-Use,-357105.06,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-357105.06,-285684.048000000000,-285684.048000000000,-71421.012000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000002,Ellipse Senior Living – Dallas,492904.06,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,492904.06,394323.248000000000,394323.248000000000,98580.812000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000001,Meridian Park Multifamily – Dallas,-162428.33,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-162428.33,-129942.664000000000,-129942.664000000000,-32485.666000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000003,Phoenix Gateway Medical Office,-311879.42,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-311879.42,-249503.536000000000,-249503.536000000000,-62375.884000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000004,Westgate Student Housing – Tempe,-17294.63,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-17294.63,-13835.704000000000,-13835.704000000000,-3458.926000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000001,Riverdale Multifamily – Dallas TX,a1b2c3d4-0002-0020-0003-000000000001,Riverdale Multifamily – Dallas TX,-149960.90,1.000000000000,1.000000000000,,,-149960.90,-149960.900000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000002,Midtown Towers – Atlanta GA,a1b2c3d4-0002-0020-0003-000000000002,Midtown Towers – Atlanta GA,-724559.69,1.000000000000,1.000000000000,,,-724559.69,-724559.690000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000003,Vertex Multifamily – Tampa FL,a1b2c3d4-0002-0020-0003-000000000003,Vertex Multifamily – Tampa FL,1294.83,1.000000000000,1.000000000000,,,1294.83,1294.830000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000004,Bellmont Residential – Charlotte NC,a1b2c3d4-0002-0020-0003-000000000004,Bellmont Residential – Charlotte NC,-99215.66,1.000000000000,1.000000000000,,,-99215.66,-99215.660000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000005,Summit Heights – Nashville TN,a1b2c3d4-0002-0020-0003-000000000005,Summit Heights – Nashville TN,-201684.57,1.000000000000,1.000000000000,,,-201684.57,-201684.570000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000006,Westridge Commons – Austin TX,a1b2c3d4-0002-0020-0003-000000000006,Westridge Commons – Austin TX,-424059.13,1.000000000000,1.000000000000,,,-424059.13,-424059.130000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000007,Riverside Park – Miami FL,a1b2c3d4-0002-0020-0003-000000000007,Riverside Park – Miami FL,-921088.72,1.000000000000,1.000000000000,,,-921088.72,-921088.720000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000008,Stratford Village – Denver CO,a1b2c3d4-0002-0020-0003-000000000008,Stratford Village – Denver CO,-297595.43,1.000000000000,1.000000000000,,,-297595.43,-297595.430000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
