fund,asset_name,asset_type,deal_type,is_debt,cost_basis,ttm_noi,exit_event_cap_rate,exit_event_quarter,qs_nav_at_asof,implied_cap_at_qs_nav,auth_nav_at_asof,implied_cap_at_auth_nav,runtime_tv_amount,runtime_tv_source,runtime_tv_cap_rate,runtime_tv_cap_rate_source,runtime_tv_implied_cap,rejected_qs_nav,rejected_implied_cap,tv_failure_reason
Institutional Growth Fund VII,Suburban Office Park,property,equity,False,26000000.0,2304795.37,,,31834630.55,0.0723989985176693,,,31834630.55,quarter_state_nav,,,0.0723989985176693,,,
Institutional Growth Fund VII,Summit Retail Center,property,equity,False,28000000.0,2804058.3,,,6996336.0,0.40078954184018606,,,43139358.461538464,noi_cap_rate,0.065,env_default_cap_rate,,6996336.0,0.40078954184018606,implied_cap_outside_band
Institutional Growth Fund VII,Sunbelt Crossing,property,equity,False,188000000.0,,,,116269777.39,,,,116269777.39,quarter_state_nav,,,,,,
Institutional Growth Fund VII,Tech Campus North,property,equity,False,55000000.0,4907404.45,,,37513609.45,0.13081664286506026,,,37513609.45,quarter_state_nav,,,0.13081664286506026,,,
Institutional Growth Fund VII,Tech Campus South Building,property,equity,False,35000000.0,3123838.21,,,17829591.27,0.17520526201047346,,,48059049.384615384,noi_cap_rate,0.065,env_default_cap_rate,,17829591.27,0.17520526201047346,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Bellmont Residential – Charlotte NC,cmbs,debt,True,65000000.0,3877575.0,,,19166666.66,0.20230826093993332,,,65000000.0,debt_outstanding_principal_default,,,,19166666.66,0.20230826093993332,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Midtown Towers – Atlanta GA,cmbs,debt,True,82500000.0,5001562.48,,,28600000.0,0.17487980699300698,,,82500000.0,debt_outstanding_principal_default,,,,28600000.0,0.17487980699300698,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Riverdale Multifamily – Dallas TX,cmbs,debt,True,58000000.0,3234950.0,,,17102564.1,0.18915000002835833,,,58000000.0,debt_outstanding_principal_default,,,,17102564.1,0.18915000002835833,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Riverside Park – Miami FL,cmbs,debt,True,92000000.0,5532880.0,,,26068615.0,0.2122429595895294,,,92000000.0,debt_outstanding_principal_default,,,,26068615.0,0.2122429595895294,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Stratford Village – Denver CO,cmbs,debt,True,61000000.0,3461445.0,,,9734787.6,0.3555747841894362,,,61000000.0,debt_outstanding_principal_default,,,,9734787.6,0.3555747841894362,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Summit Heights – Nashville TN,cmbs,debt,True,52500000.0,2953650.0,,,16007751.93,0.1845137289055928,,,52500000.0,debt_outstanding_principal_default,,,,16007751.93,0.1845137289055928,implied_cap_outside_band
Meridian Credit Opportunities Fund I,Vertex Multifamily – Tampa FL,cmbs,debt,True,49000000.0,2875565.0,,,,,,,49000000.0,debt_outstanding_principal_default,,,,,,
Meridian Credit Opportunities Fund I,Westridge Commons – Austin TX,cmbs,debt,True,74000000.0,4235020.0,,,,,,,74000000.0,debt_outstanding_principal_default,,,,,,
Meridian Real Estate Fund III,Ballantyne Corporate Center,property,equity,False,45000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Ellipse Senior Living – Dallas,property,equity,False,17500000.0,1303081.27,,,9807859.9,0.1328609180071995,,,9807859.9,quarter_state_nav,,,0.1328609180071995,,,
Meridian Real Estate Fund III,Fulton Industrial Warehouse,property,equity,False,33000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Gulch District Mixed-Use,property,equity,False,55000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Highline at Cherry Creek,property,equity,False,95000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Meridian Park Multifamily – Dallas,property,equity,False,68000000.0,4222068.6,,,33044313.6,0.12776989866117236,,,33044313.6,quarter_state_nav,,,0.12776989866117236,,,
Meridian Real Estate Fund III,Peachtree Distribution Center,property,equity,False,52000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Phoenix Gateway Medical Office,property,equity,False,39500000.0,2240233.39,,,,,,,34465129.07692308,noi_cap_rate,0.065,env_default_cap_rate,,,,
Meridian Real Estate Fund III,South Lamar Residences,property,equity,False,110000000.0,,,,,,,,,,,,,,,no_inflow
Meridian Real Estate Fund III,Westgate Student Housing – Tempe,property,equity,False,24000000.0,1452009.99,,,,,,,22338615.230769232,noi_cap_rate,0.065,env_default_cap_rate,,,,
